epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate
1,0.7920092279152896,0.4638329016069051,0.9060833333333334,0.8829166666666667,0.0019998140172963917
2,0.4922955606347755,0.40981976102479484,0.9060833333333334,0.8829166666666667,0.0019996270695515285
3,0.4452597433728822,0.38009217141987095,0.9060833333333334,0.8829166666666667,0.0019994401567561084
4,0.4193659753989175,0.40065591979520876,0.9060833333333334,0.8829166666666667,0.0019992532789003307
5,0.40445995136693086,0.37964377737521576,0.9060833333333334,0.8829166666666667,0.0019990664359744
6,0.39666560381852023,0.36873882202541053,0.9060833333333334,0.8829166666666667,0.001998879627968524
7,0.38459847042576695,0.3627958090262061,0.9060833333333334,0.8829166666666667,0.001998692854872913
8,0.38137883017717783,0.3435192966931136,0.9060833333333334,0.8829166666666667,0.0019985061166777835
9,0.3691618230738078,0.36505425384163376,0.9060833333333334,0.8829166666666667,0.001998319413373353
10,0.3695613762223641,0.35342310348589917,0.9060833333333334,0.8829166666666667,0.001998132744949844
11,0.35898161279842183,0.35895129949749544,0.9060833333333334,0.8829166666666667,0.0019979461113974833
12,0.3580689625646443,0.35127257337165535,0.9060833333333334,0.8829166666666667,0.0019977595127064996
13,0.353872228886058,0.3309001118214927,0.9060833333333334,0.8829166666666667,0.0019975729488671268
14,0.34907944051512485,0.33932799450672485,0.9060833333333334,0.8829166666666667,0.0019973864198696008
15,0.3468500577890012,0.3457115438313193,0.9060833333333334,0.8829166666666667,0.001997199925704163
16,0.34729458384088835,0.34285190569437163,0.9060833333333334,0.8829166666666667,0.0019970134663610567
17,0.34904717861605683,0.33192906182524357,0.9060833333333334,0.8829166666666667,0.0019968270418305313
18,0.3430710921953984,0.35127920490272935,0.9060833333333334,0.8829166666666667,0.001996640652102837
